File Path,Status,Backup Size (bytes),Backup Lines,Current Size (bytes),Current Lines,Size Diff (bytes),Lines Diff,Size Change %,Backup Path,Current Path
blog\blogData.ts,Only in Backup,8670,279,0,0,-8670,-279,-100%,Z:\09-25\src-9-30-25-working\blog\blogData.ts,
chat\Chatdata.ts,Only in Backup,15905,574,0,0,-15905,-574,-100%,Z:\09-25\src-9-30-25-working\chat\Chatdata.ts,
churches\churchData.tsx,Only in Backup,13812,382,0,0,-13812,-382,-100%,Z:\09-25\src-9-30-25-working\churches\churchData.tsx,
church-records.api.ts,Only in Backup,11367,345,0,0,-11367,-345,-100%,Z:\09-25\src-9-30-25-working\church-records.api.ts,
church-records.hooks.ts,Only in Backup,10464,367,0,0,-10464,-367,-100%,Z:\09-25\src-9-30-25-working\church-records.hooks.ts,
client-management.api.ts,Only in Backup,7990,193,0,0,-7990,-193,-100%,Z:\09-25\src-9-30-25-working\client-management.api.ts,
components.api.ts,Only in Backup,5781,229,0,0,-5781,-229,-100%,Z:\09-25\src-9-30-25-working\components.api.ts,
components\admin\OMAITaskAssignmentWidget.tsx,Only in Backup,53986,1376,0,0,-53986,-1376,-100%,Z:\09-25\src-9-30-25-working\components\admin\OMAITaskAssignmentWidget.tsx,
components\admin\OMBigBook.tsx.backup,Only in Backup,53402,1387,0,0,-53402,-1387,-100%,Z:\09-25\src-9-30-25-working\components\admin\OMBigBook.tsx.backup,
components\admin\RegistryManagementPanel.tsx.backup,Only in Backup,8838,246,0,0,-8838,-246,-100%,Z:\09-25\src-9-30-25-working\components\admin\RegistryManagementPanel.tsx.backup,
components\apps\account-settings\AccountTab.tsx.backup,Only in Backup,13027,334,0,0,-13027,-334,-100%,Z:\09-25\src-9-30-25-working\components\apps\account-settings\AccountTab.tsx.backup,
components\apps\account-settings\NotificationTab.tsx.backup,Only in Backup,18049,502,0,0,-18049,-502,-100%,Z:\09-25\src-9-30-25-working\components\apps\account-settings\NotificationTab.tsx.backup,
components\apps\ecommerce\productDetail\Carousel.css,Only in Backup,210,13,0,0,-210,-13,-100%,Z:\09-25\src-9-30-25-working\components\apps\ecommerce\productDetail\Carousel.css,
components\church-management\ch-wiz\ChurchSetupWizard.tsx,Only in Backup,31910,902,0,0,-31910,-902,-100%,Z:\09-25\src-9-30-25-working\components\church-management\ch-wiz\ChurchSetupWizard.tsx,
components\frontend-pages\homepage\powerful-dozens\carousel.css,Only in Backup,301,18,0,0,-301,-18,-100%,Z:\09-25\src-9-30-25-working\components\frontend-pages\homepage\powerful-dozens\carousel.css,
components\frontend-pages\shared\leadership\carousel.css,Only in Backup,123,7,0,0,-123,-7,-100%,Z:\09-25\src-9-30-25-working\components\frontend-pages\shared\leadership\carousel.css,
components\ImportRecordsButton.tsx.backup,Only in Backup,18821,558,0,0,-18821,-558,-100%,Z:\09-25\src-9-30-25-working\components\ImportRecordsButton.tsx.backup,
components\KanbanBoard.tsx,Only in Backup,2258,96,0,0,-2258,-96,-100%,Z:\09-25\src-9-30-25-working\components\KanbanBoard.tsx,
components\KanbanColumn.tsx,Only in Backup,4629,181,0,0,-4629,-181,-100%,Z:\09-25\src-9-30-25-working\components\KanbanColumn.tsx,
components\KanbanTaskCard.tsx,Only in Backup,10937,351,0,0,-10937,-351,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskCard.tsx,
components\KanbanTaskModal.broken.tsx,Only in Backup,21948,683,0,0,-21948,-683,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.broken.tsx,
components\KanbanTaskModal.clean.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.clean.tsx,
components\KanbanTaskModal.tsx,Only in Backup,16511,522,0,0,-16511,-522,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.tsx,
components\KanbanTaskModal.tsx.backup,Only in Backup,21948,683,0,0,-21948,-683,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.tsx.backup,
components\landingpage\testimonial\testimonial.css,Only in Backup,261,17,0,0,-261,-17,-100%,Z:\09-25\src-9-30-25-working\components\landingpage\testimonial\testimonial.css,
components\OMAI\Logger\CriticalEventsPanel.tsx,Only in Backup,11222,250,0,0,-11222,-250,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\CriticalEventsPanel.tsx,
components\OMAI\Logger\Demo.tsx,Only in Backup,2704,92,0,0,-2704,-92,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\Demo.tsx,
components\OMAI\Logger\HistoricalLogViewer.tsx,Only in Backup,13148,306,0,0,-13148,-306,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\HistoricalLogViewer.tsx,
components\OMAI\Logger\hooks.ts,Only in Backup,8813,296,0,0,-8813,-296,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\hooks.ts,
components\OMAI\Logger\index.ts,Only in Backup,1007,47,0,0,-1007,-47,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\index.ts,
components\OMAI\Logger\mockData.ts,Only in Backup,6573,210,0,0,-6573,-210,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\mockData.ts,
components\OMAI\Logger\OMAIUltimateLogger.tsx,Only in Backup,9196,197,0,0,-9196,-197,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\OMAIUltimateLogger.tsx,
components\OMAI\Logger\RealTimeLogConsole.tsx,Only in Backup,10186,238,0,0,-10186,-238,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\RealTimeLogConsole.tsx,
components\OMAI\Logger\SimpleLogViewer.tsx,Only in Backup,6414,165,0,0,-6414,-165,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\SimpleLogViewer.tsx,
components\OMAI\Logger\SystemMessages.tsx,Only in Backup,11429,266,0,0,-11429,-266,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\SystemMessages.tsx,
components\OMAI\Logger\types.ts,Only in Backup,1156,54,0,0,-1156,-54,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\types.ts,
components\OMAI\Logger\utils.ts,Only in Backup,3836,121,0,0,-3836,-121,-100%,Z:\09-25\src-9-30-25-working\components\OMAI\Logger\utils.ts,
components\OrthodoxBanner\OrthodoxBanner.css,Only in Backup,2626,150,0,0,-2626,-150,-100%,Z:\09-25\src-9-30-25-working\components\OrthodoxBanner\OrthodoxBanner.css,
components\setup\ChurchSetupWizard.tsx,Only in Backup,16243,452,0,0,-16243,-452,-100%,Z:\09-25\src-9-30-25-working\components\setup\ChurchSetupWizard.tsx,
contacts\ContactsData.tsx,Only in Backup,14786,549,0,0,-14786,-549,-100%,Z:\09-25\src-9-30-25-working\contacts\ContactsData.tsx,
context\InvoiceContext\index.tsx.backup,Only in Backup,7703,243,0,0,-7703,-243,-100%,Z:\09-25\src-9-30-25-working\context\InvoiceContext\index.tsx.backup,
email\EmailData.tsx,Only in Backup,17895,537,0,0,-17895,-537,-100%,Z:\09-25\src-9-30-25-working\email\EmailData.tsx,
features\admin\admin\OMAITaskAssignmentWidget.tsx,Only in Backup,52599,1376,0,0,-52599,-1376,-100%,Z:\09-25\src-9-30-25-working\features\admin\admin\OMAITaskAssignmentWidget.tsx,
features\admin\admin\PermissionsManagement.tsx,Only in Backup,19883,487,0,0,-19883,-487,-100%,Z:\09-25\src-9-30-25-working\features\admin\admin\PermissionsManagement.tsx,
features\admin\admin\tabs\UserManagement.tsx,Only in Backup,15729,406,0,0,-15729,-406,-100%,Z:\09-25\src-9-30-25-working\features\admin\admin\tabs\UserManagement.tsx,
features\admin\ai\AIAnalyticsDashboard.tsx,Only in Backup,16204,430,0,0,-16204,-430,-100%,Z:\09-25\src-9-30-25-working\features\admin\ai\AIAnalyticsDashboard.tsx,
features\apps\chat\Chat.tsx,Only in Backup,1680,52,0,0,-1680,-52,-100%,Z:\09-25\src-9-30-25-working\features\apps\chat\Chat.tsx,
features\church\church-management\ch-wiz\ChurchSetupWizard.tsx,Only in Backup,31899,902,0,0,-31899,-902,-100%,Z:\09-25\src-9-30-25-working\features\church\church-management\ch-wiz\ChurchSetupWizard.tsx,
features\church\church-wizard\Step1Basic.tsx,Only in Backup,19680,487,0,0,-19680,-487,-100%,Z:\09-25\src-9-30-25-working\features\church\church-wizard\Step1Basic.tsx,
features\church\setup\ChurchSetupWizard.tsx,Only in Backup,15791,452,0,0,-15791,-452,-100%,Z:\09-25\src-9-30-25-working\features\church\setup\ChurchSetupWizard.tsx,
features\church-management\new_church_wizard\com_wiz_1.tsx,Only in Backup,1062,25,0,0,-1062,-25,-100%,Z:\09-25\src-9-30-25-working\features\church-management\new_church_wizard\com_wiz_1.tsx,
features\church-management\new_church_wizard\com_wiz_2.tsx,Only in Backup,15487,465,0,0,-15487,-465,-100%,Z:\09-25\src-9-30-25-working\features\church-management\new_church_wizard\com_wiz_2.tsx,
features\church-management\new_church_wizard\com_wiz_3.tsx,Only in Backup,4061,110,0,0,-4061,-110,-100%,Z:\09-25\src-9-30-25-working\features\church-management\new_church_wizard\com_wiz_3.tsx,
features\church-management\new_church_wizard\com_wiz_4.tsx,Only in Backup,2613,78,0,0,-2613,-78,-100%,Z:\09-25\src-9-30-25-working\features\church-management\new_church_wizard\com_wiz_4.tsx,
features\church-management\new_church_wizard\com_wiz_5.tsx,Only in Backup,8846,261,0,0,-8846,-261,-100%,Z:\09-25\src-9-30-25-working\features\church-management\new_church_wizard\com_wiz_5.tsx,
features\misc-legacy\apps\calendar\Calendar.css,Only in Backup,2856,162,0,0,-2856,-162,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\calendar\Calendar.css,
features\misc-legacy\apps\eCommerce\Ecommerce.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\ecommerce\Ecommerce.tsx,
features\misc-legacy\apps\eCommerce\EcommerceAddProduct.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\ecommerce\EcommerceAddProduct.tsx,
features\misc-legacy\apps\eCommerce\EcommerceCheckout.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\ecommerce\EcommerceCheckout.tsx,
features\misc-legacy\apps\eCommerce\EcommerceDetail.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\ecommerce\EcommerceDetail.tsx,
features\misc-legacy\apps\eCommerce\EcommerceEditProduct.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\ecommerce\EcommerceEditProduct.tsx,
features\misc-legacy\apps\eCommerce\EcomProductList.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\ecommerce\EcomProductList.tsx,
features\misc-legacy\apps\email\Email.tsx,Only in Backup,4087,127,0,0,-4087,-127,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\Email.tsx,
features\misc-legacy\apps\email\EmailActions.tsx,Only in Backup,839,28,0,0,-839,-28,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\EmailActions.tsx,
features\misc-legacy\apps\email\EmailCompose.tsx,Only in Backup,3054,101,0,0,-3054,-101,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\EmailCompose.tsx,
features\misc-legacy\apps\email\EmailFilter.tsx,Only in Backup,4109,186,0,0,-4109,-186,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\EmailFilter.tsx,
features\misc-legacy\apps\email\EmailList.tsx,Only in Backup,2744,93,0,0,-2744,-93,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\EmailList.tsx,
features\misc-legacy\apps\email\EmailListItem.tsx,Only in Backup,3754,127,0,0,-3754,-127,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\EmailListItem.tsx,
features\misc-legacy\apps\email\EmailSearch.tsx,Only in Backup,1700,58,0,0,-1700,-58,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\email\EmailSearch.tsx,
features\misc-legacy\apps\invoice\Add-invoice\index.tsx,Only in Backup,13425,444,0,0,-13425,-444,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Add-invoice\index.tsx,
features\misc-legacy\apps\invoice\Create.tsx,Only in Backup,862,33,0,0,-862,-33,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Create.tsx,
features\misc-legacy\apps\invoice\Detail.tsx,Only in Backup,879,32,0,0,-879,-32,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Detail.tsx,
features\misc-legacy\apps\invoice\Edit.tsx,Only in Backup,861,33,0,0,-861,-33,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Edit.tsx,
features\misc-legacy\apps\invoice\Edit-invoice\index.tsx,Only in Backup,162,8,0,0,-162,-8,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Edit-invoice\index.tsx,
features\misc-legacy\apps\invoice\Edit-invoice\ModernInvoiceEdit.simple.tsx,Only in Backup,22744,492,0,0,-22744,-492,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Edit-invoice\ModernInvoiceEdit.simple.tsx,
features\misc-legacy\apps\invoice\Edit-invoice\ModernInvoiceEdit.tsx,Only in Backup,24978,523,0,0,-24978,-523,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Edit-invoice\ModernInvoiceEdit.tsx,
features\misc-legacy\apps\invoice\Invoice-detail\index.tsx,Only in Backup,163,7,0,0,-163,-7,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-detail\index.tsx,
features\misc-legacy\apps\invoice\Invoice-detail\InvoicePDFPreview.tsx,Only in Backup,7224,169,0,0,-7224,-169,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-detail\InvoicePDFPreview.tsx,
features\misc-legacy\apps\invoice\Invoice-detail\ModernInvoiceDetail.simple.tsx,Only in Backup,20941,495,0,0,-20941,-495,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-detail\ModernInvoiceDetail.simple.tsx,
features\misc-legacy\apps\invoice\Invoice-detail\ModernInvoiceDetail.tsx,Only in Backup,18708,387,0,0,-18708,-387,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-detail\ModernInvoiceDetail.tsx,
features\misc-legacy\apps\invoice\Invoice-list\index.tsx,Only in Backup,87,3,0,0,-87,-3,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-list\index.tsx,
features\misc-legacy\apps\invoice\Invoice-list\ModernInvoiceList.tsx,Only in Backup,29426,903,0,0,-29426,-903,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-list\ModernInvoiceList.tsx,
features\misc-legacy\apps\invoice\Invoice-view\index.tsx,Only in Backup,191,8,0,0,-191,-8,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-view\index.tsx,
features\misc-legacy\apps\invoice\Invoice-view\InvoiceViewByNumber.tsx,Only in Backup,19277,391,0,0,-19277,-391,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\Invoice-view\InvoiceViewByNumber.tsx,
features\misc-legacy\apps\invoice\List.tsx,Only in Backup,1185,45,0,0,-1185,-45,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\List.tsx,
features\misc-legacy\apps\invoice\View.tsx,Only in Backup,1034,36,0,0,-1034,-36,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\invoice\View.tsx,
features\misc-legacy\apps\kanban\CategoryTaskList.tsx,Only in Backup,8343,242,0,0,-8343,-242,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\CategoryTaskList.tsx,
features\misc-legacy\apps\kanban\Kanban.tsx,Only in Backup,677,30,0,0,-677,-30,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\Kanban.tsx,
features\misc-legacy\apps\kanban\KanbanHeader.tsx,Only in Backup,2500,92,0,0,-2500,-92,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\KanbanHeader.tsx,
features\misc-legacy\apps\kanban\TaskData.tsx,Only in Backup,7272,218,0,0,-7272,-218,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\TaskData.tsx,
features\misc-legacy\apps\kanban\TaskManager.tsx,Only in Backup,1897,56,0,0,-1897,-56,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\TaskManager.tsx,
features\misc-legacy\apps\kanban\TaskModal\AddNewTaskModal.tsx,Only in Backup,4676,184,0,0,-4676,-184,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\TaskModal\AddNewTaskModal.tsx,
features\misc-legacy\apps\kanban\TaskModal\EditCategoryModal.tsx,Only in Backup,1827,58,0,0,-1827,-58,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\TaskModal\EditCategoryModal.tsx,
features\misc-legacy\apps\kanban\TaskModal\EditTaskModal.tsx,Only in Backup,5469,178,0,0,-5469,-178,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\kanban\TaskModal\EditTaskModal.tsx,
features\misc-legacy\apps\notes\AddNotes.tsx,Only in Backup,5926,216,0,0,-5926,-216,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\notes\AddNotes.tsx,
features\misc-legacy\apps\notes\NoteList.tsx,Only in Backup,4087,125,0,0,-4087,-125,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\notes\NoteList.tsx,
features\misc-legacy\apps\notes\Notes.tsx,Only in Backup,1442,49,0,0,-1442,-49,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\notes\Notes.tsx,
features\misc-legacy\apps\notes\NoteSidebar.tsx,Only in Backup,876,34,0,0,-876,-34,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\notes\NoteSidebar.tsx,
features\misc-legacy\apps\site-clone\SiteClone.tsx,Only in Backup,15814,384,0,0,-15814,-384,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\site-clone\SiteClone.tsx,
features\misc-legacy\apps\tickets\TicketFilter.tsx,Only in Backup,2478,87,0,0,-2478,-87,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\tickets\TicketFilter.tsx,
features\misc-legacy\apps\tickets\TicketListing.tsx,Only in Backup,5630,194,0,0,-5630,-194,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\tickets\TicketListing.tsx,
features\misc-legacy\apps\tickets\Tickets.tsx,Only in Backup,828,32,0,0,-828,-32,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\tickets\Tickets.tsx,
features\misc-legacy\apps\user-profile\Followers.tsx,Only in Backup,1200,48,0,0,-1200,-48,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\user-profile\Followers.tsx,
features\misc-legacy\apps\userprofile\followers\FollowerCard.tsx,Only in Backup,3404,115,0,0,-3404,-115,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\followers\FollowerCard.tsx,
features\misc-legacy\apps\user-profile\Friends.tsx,Only in Backup,1184,44,0,0,-1184,-44,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\user-profile\Friends.tsx,
features\misc-legacy\apps\userprofile\friends\FriendsCard.tsx,Only in Backup,3377,128,0,0,-3377,-128,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\friends\FriendsCard.tsx,
features\misc-legacy\apps\user-profile\Gallery.tsx,Only in Backup,1185,45,0,0,-1185,-45,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\user-profile\Gallery.tsx,
features\misc-legacy\apps\userprofile\gallery\GalleryCard.tsx,Only in Backup,4147,145,0,0,-4147,-145,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\gallery\GalleryCard.tsx,
features\misc-legacy\apps\userprofile\profile\IntroCard.tsx,Only in Backup,6500,181,0,0,-6500,-181,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\IntroCard.tsx,
features\misc-legacy\apps\userprofile\profile\PhotosCard.tsx,Only in Backup,1968,77,0,0,-1968,-77,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\PhotosCard.tsx,
features\misc-legacy\apps\userprofile\profile\Post.tsx,Only in Backup,95,2,0,0,-95,-2,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\Post.tsx,
features\misc-legacy\apps\userprofile\profile\PostComments.tsx,Only in Backup,10961,296,0,0,-10961,-296,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\PostComments.tsx,
features\misc-legacy\apps\userprofile\profile\PostItem.tsx,Only in Backup,5616,192,0,0,-5616,-192,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\PostItem.tsx,
features\misc-legacy\apps\userprofile\profile\PostTextBox.tsx,Only in Backup,1326,47,0,0,-1326,-47,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\PostTextBox.tsx,
features\misc-legacy\apps\userprofile\profile\ProfileBanner.tsx,Only in Backup,12706,383,0,0,-12706,-383,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\ProfileBanner.tsx,
features\misc-legacy\apps\userprofile\profile\ProfileTab.tsx,Only in Backup,1978,70,0,0,-1978,-70,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\profile\ProfileTab.tsx,
features\misc-legacy\apps\userprofile\ProfileBanner.tsx,Only in Backup,15155,474,0,0,-15155,-474,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\userprofile\ProfileBanner.tsx,
features\misc-legacy\apps\user-profile\UserProfile.tsx,Only in Backup,1924,73,0,0,-1924,-73,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\apps\user-profile\UserProfile.tsx,
features\misc-legacy\avatars\OrthodoxAvatars.tsx,Only in Backup,18405,294,0,0,-18405,-294,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\avatars\OrthodoxAvatars.tsx,
features\misc-legacy\bigbook\custom\api-routes-viewer.tsx,Only in Backup,58574,1324,0,0,-58574,-1324,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\bigbook\custom\api-routes-viewer.tsx,
features\misc-legacy\blog\BlogFeed.tsx,Only in Backup,10749,342,0,0,-10749,-342,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\blog\BlogFeed.tsx,
features\misc-legacy\calendar\CalendarDayDetail.tsx,Only in Backup,25984,506,0,0,-25984,-506,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\calendar\CalendarDayDetail.tsx,
features\misc-legacy\calendar\index.ts,Only in Backup,654,24,0,0,-654,-24,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\calendar\index.ts,
features\misc-legacy\calendar\LiturgicalCalendar.tsx,Only in Backup,25394,523,0,0,-25394,-523,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\calendar\LiturgicalCalendar.tsx,
features\misc-legacy\calendar\LiturgicalCalendarPage.tsx,Only in Backup,511,23,0,0,-511,-23,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\calendar\LiturgicalCalendarPage.tsx,
features\misc-legacy\calendar\OMCalendar.tsx,Only in Backup,26227,847,0,0,-26227,-847,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\calendar\OMCalendar.tsx,
features\misc-legacy\ch_wiz\pg_wiz_1.tsx,Only in Backup,19682,487,0,0,-19682,-487,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\ch_wiz\pg_wiz_1.tsx,
features\misc-legacy\charts\Area Chart\code\AreaChartCode.tsx,Only in Backup,1949,102,0,0,-1949,-102,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Area Chart\code\AreaChartCode.tsx,
features\misc-legacy\charts\AreaChart.tsx,Only in Backup,2368,104,0,0,-2368,-104,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\AreaChart.tsx,
features\misc-legacy\charts\Candlestick Chart\code\CandlestickChartCode.tsx,Only in Backup,6213,147,0,0,-6213,-147,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Candlestick Chart\code\CandlestickChartCode.tsx,
features\misc-legacy\charts\CandlestickChart.tsx,Only in Backup,6655,147,0,0,-6655,-147,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\CandlestickChart.tsx,
features\misc-legacy\charts\Column Chart\code\ColumnChartCode.tsx,Only in Backup,2182,116,0,0,-2182,-116,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Column Chart\code\ColumnChartCode.tsx,
features\misc-legacy\charts\ColumnChart.tsx,Only in Backup,2604,116,0,0,-2604,-116,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\ColumnChart.tsx,
features\misc-legacy\charts\Doughnut Charts\code\DoughnutChartsCode.tsx,Only in Backup,1659,80,0,0,-1659,-80,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Doughnut Charts\code\DoughnutChartsCode.tsx,
features\misc-legacy\charts\DoughnutChart.tsx,Only in Backup,3369,134,0,0,-3369,-134,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\DoughnutChart.tsx,
features\misc-legacy\charts\Gradient Chart\code\GradientChartCode.tsx,Only in Backup,2431,131,0,0,-2431,-131,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Gradient Chart\code\GradientChartCode.tsx,
features\misc-legacy\charts\GredientChart.tsx,Only in Backup,2863,133,0,0,-2863,-133,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\GredientChart.tsx,
features\misc-legacy\charts\Line Chart\code\LineChartCode.tsx,Only in Backup,1950,106,0,0,-1950,-106,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Line Chart\code\LineChartCode.tsx,
features\misc-legacy\charts\LineChart.tsx,Only in Backup,2391,108,0,0,-2391,-108,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\LineChart.tsx,
features\misc-legacy\charts\Pie Charts\code\PieChartsCode.tsx,Only in Backup,1660,79,0,0,-1660,-79,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Pie Charts\code\PieChartsCode.tsx,
features\misc-legacy\charts\Radar Charts\code\RadarChartsCode.tsx,Only in Backup,1498,72,0,0,-1498,-72,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Radar Charts\code\RadarChartsCode.tsx,
features\misc-legacy\charts\Radialbar Charts\code\RadialbarChartsCode.tsx,Only in Backup,1743,85,0,0,-1743,-85,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\Radialbar Charts\code\RadialbarChartsCode.tsx,
features\misc-legacy\charts\RadialbarChart.tsx,Only in Backup,3329,133,0,0,-3329,-133,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\charts\RadialbarChart.tsx,
features\misc-legacy\container\PageContainer.tsx,Only in Backup,477,23,0,0,-477,-23,-100%,Z:\09-25\src-9-30-25-working\features\misc-legacy\container\PageContainer.tsx,
